Selection treatment,Line,Maternal age,Maternal ID,Emergence success
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
Short-life,GreenShort,1,GreenShort1,1
