Selection treatment,Line,Maternal age,Maternal.ID,Sex,Development time,Lifespan
Short-life,GreenShort,1,GreenShort1,M,23,21
Short-life,GreenShort,1,GreenShort1,F,23,24
Short-life,GreenShort,1,GreenShort1,F,21,24
Short-life,GreenShort,1,GreenShort1,M,21,16
Short-life,GreenShort,1,GreenShort1,M,24,22
Short-life,GreenShort,1,GreenShort1,M,23,24
Short-life,GreenShort,1,GreenShort1,M,22,16
Short-life,GreenShort,1,GreenShort1,F,22,27
Short-life,GreenShort,1,GreenShort1,M,21,24
Short-life,GreenShort,1,GreenShort1,M,22,19
Short-life,GreenShort,1,GreenShort1,M,23,17
Short-life,GreenShort,1,GreenShort1,M,21,17
Short-life,GreenShort,1,GreenShort1,M,23,19
Short-life,GreenShort,1,GreenShort1,F,23,24
Short-life,GreenShort,1,GreenShort1,F,22,26
Short-life,GreenShort,1,GreenShort1,M,22,22
Short-life,GreenShort,1,GreenShort1,F,23,26
Short-life,GreenShort,1,GreenShort1,F,23,24
Short-life,GreenShort,1,GreenShort1,M,23,20
Short-life,GreenShort,1,GreenShort1,F,22,20
Short-life,GreenShort,1,GreenShort1,M,23,13
Short-life,GreenShort,1,GreenShort1,F,22,16
Short-life,GreenShort,1,GreenShort1,F,22,17
Short-life,GreenShort,1,GreenShort1,M,23,19
Short-life,GreenShort,1,GreenShort1,M,22,23
Short-life,GreenShort,1,GreenShort1,M,22,8
Short-life,GreenShort,1,GreenShort1,F,23,38
Short-life,GreenShort,1,GreenShort1,F,23,19
Short-life,GreenShort,1,GreenShort1,M,23,19
Short-life,GreenShort,1,GreenShort1,M,24,15
Short-life,GreenShort,1,GreenShort1,M,24,19
Short-life,GreenShort,1,GreenShort1,M,23,19
Short-life,GreenShort,1,GreenShort1,M,24,21
Short-life,GreenShort,1,GreenShort1,F,23,23
Short-life,GreenShort,1,GreenShort1,F,23,22
Short-life,GreenShort,1,GreenShort1,F,23,29
Short-life,GreenShort,1,GreenShort1,F,22,23
Short-life,GreenShort,1,GreenShort1,F,22,27
Short-life,GreenShort,1,GreenShort1,M,23,13
Short-life,GreenShort,1,GreenShort1,F,23,39
Short-life,GreenShort,1,GreenShort1,M,23,14
Short-life,GreenShort,1,GreenShort1,M,23,14
Short-life,GreenShort,1,GreenShort1,F,23,27
Short-life,GreenShort,1,GreenShort2,F,21,35
Short-life,GreenShort,1,GreenShort2,M,23,17
Short-life,GreenShort,1,GreenShort2,M,21,27
Short-life,GreenShort,1,GreenShort2,M,25,20
Short-life,GreenShort,1,GreenShort2,M,21,26
Short-life,GreenShort,1,GreenShort2,F,23,37
Short-life,GreenShort,1,GreenShort2,F,22,31
Short-life,GreenShort,1,GreenShort2,M,22,18
Short-life,GreenShort,1,GreenShort2,M,22,21
Short-life,GreenShort,1,GreenShort2,F,23,36
Short-life,GreenShort,1,GreenShort2,F,21,28
Short-life,GreenShort,1,GreenShort2,M,22,20
Short-life,GreenShort,1,GreenShort2,M,22,22
Short-life,GreenShort,1,GreenShort2,F,22,38
Short-life,GreenShort,1,GreenShort2,M,23,21
Short-life,GreenShort,1,GreenShort2,M,20,23
Short-life,GreenShort,1,GreenShort2,F,22,28
Short-life,GreenShort,1,GreenShort2,M,23,22
Short-life,GreenShort,1,GreenShort2,M,22,22
Short-life,GreenShort,1,GreenShort2,F,26,16
Short-life,GreenShort,1,GreenShort2,M,25,24
Short-life,GreenShort,1,GreenShort2,M,21,19
Short-life,GreenShort,1,GreenShort2,M,22,22
Short-life,GreenShort,1,GreenShort2,M,21,19
Short-life,GreenShort,1,GreenShort2,F,24,28
Short-life,GreenShort,1,GreenShort2,F,23,36
Short-life,GreenShort,1,GreenShort2,M,21,26
Short-life,GreenShort,1,GreenShort2,F,22,27
Short-life,GreenShort,1,GreenShort2,M,21,21
Short-life,GreenShort,1,GreenShort2,F,21,32
Short-life,GreenShort,1,GreenShort2,F,22,34
Short-life,GreenShort,1,GreenShort2,M,22,24
Short-life,GreenShort,1,GreenShort2,M,23,23
Short-life,GreenShort,1,GreenShort2,F,23,35
Short-life,GreenShort,1,GreenShort2,F,21,37
Short-life,GreenShort,1,GreenShort2,F,21,34
Short-life,GreenShort,1,GreenShort2,F,23,35
Short-life,GreenShort,1,GreenShort2,M,21,25
Short-life,GreenShort,1,GreenShort2,F,21,27
Short-life,GreenShort,1,GreenShort2,M,21,23
Short-life,GreenShort,1,GreenShort2,F,21,35
Short-life,GreenShort,1,GreenShort2,M,22,21
Short-life,GreenShort,1,GreenShort2,M,21,20
Short-life,GreenShort,1,GreenShort3,M,22,26
Short-life,GreenShort,1,GreenShort3,M,22,16
Short-life,GreenShort,1,GreenShort3,F,24,25
Short-life,GreenShort,1,GreenShort3,M,21,13
Short-life,GreenShort,1,GreenShort3,M,24,19
Short-life,GreenShort,1,GreenShort3,M,24,15
