Selection treatment,Line,Maternal age,Maternal.ID,Sex,Development time,Lifespan
Long-life,GreenLong,1,GreenLong1,M,26,22
Long-life,GreenLong,1,GreenLong1,M,24,17
Long-life,GreenLong,1,GreenLong1,M,23,15
Long-life,GreenLong,1,GreenLong1,F,24,28
Long-life,GreenLong,1,GreenLong1,M,23,21
Long-life,GreenLong,1,GreenLong1,F,21,27
Long-life,GreenLong,1,GreenLong1,M,25,19
Long-life,GreenLong,1,GreenLong1,M,23,23
Long-life,GreenLong,1,GreenLong1,M,22,26
Long-life,GreenLong,1,GreenLong1,M,22,20
Long-life,GreenLong,1,GreenLong1,F,23,28
Long-life,GreenLong,1,GreenLong1,F,22,24
Long-life,GreenLong,1,GreenLong1,M,22,20
Long-life,GreenLong,1,GreenLong1,M,22,21
Long-life,GreenLong,1,GreenLong1,M,23,18
Long-life,GreenLong,1,GreenLong1,F,22,32
Long-life,GreenLong,1,GreenLong1,F,23,31
Long-life,GreenLong,1,GreenLong1,M,22,17
Long-life,GreenLong,1,GreenLong1,M,22,23
Long-life,GreenLong,1,GreenLong1,M,23,22
Long-life,GreenLong,1,GreenLong1,M,21,23
Long-life,GreenLong,1,GreenLong1,F,34,27
Long-life,GreenLong,1,GreenLong2,M,22,17
Long-life,GreenLong,1,GreenLong2,F,22,30
Long-life,GreenLong,1,GreenLong2,F,22,33
Long-life,GreenLong,1,GreenLong2,M,22,21
Long-life,GreenLong,1,GreenLong2,M,23,19
Long-life,GreenLong,1,GreenLong2,F,23,29
Long-life,GreenLong,1,GreenLong2,F,23,29
Long-life,GreenLong,1,GreenLong2,M,21,21
Long-life,GreenLong,1,GreenLong2,M,22,26
Long-life,GreenLong,1,GreenLong2,F,21,31
Long-life,GreenLong,1,GreenLong2,M,22,20
Long-life,GreenLong,1,GreenLong2,F,21,23
Long-life,GreenLong,1,GreenLong2,F,22,27
Long-life,GreenLong,1,GreenLong2,F,23,28
Long-life,GreenLong,1,GreenLong2,F,22,29
Long-life,GreenLong,1,GreenLong2,F,23,30
Long-life,GreenLong,1,GreenLong2,F,23,31
Long-life,GreenLong,1,GreenLong2,F,22,32
Long-life,GreenLong,1,GreenLong2,F,22,22
Long-life,GreenLong,1,GreenLong2,M,22,25
Long-life,GreenLong,1,GreenLong2,F,22,33
Long-life,GreenLong,1,GreenLong2,F,21,27
Long-life,GreenLong,1,GreenLong2,M,21,23
Long-life,GreenLong,1,GreenLong2,M,23,24
Long-life,GreenLong,1,GreenLong2,M,22,19
Long-life,GreenLong,1,GreenLong2,M,22,20
Long-life,GreenLong,1,GreenLong2,M,21,23
Long-life,GreenLong,1,GreenLong2,F,23,31
Long-life,GreenLong,1,GreenLong2,F,23,34
